#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
47,Mascha und der Bär @UCA_DdzBmf5yNaxMpVGwZV4g,3.1M,-,Germany,,936K,Mascha und der Bär,3940000,1627348336,1255
48,BangerChannel @UCbDNCzgdLlvYY9dk5M8063A,3M,0.60%,Germany,,891K,BangerChannel,2990000,2100561135,865
49,DW Español @UCT4Jg8h03dD0iN3Pb5L0PMA,3M,-,Germany,,891K,DW Español,4380000,2458835791,41273
50,Nuclear Blast Records @UCoxg3Kml41wE3IPq-PC-LQw,3M,-,Germany,,888K,Nuclear Blast Records,3150000,3169550281,6805
51,The Promise Official @UCpywdT36luPBzjrEN-z9nvw,3M,-,Germany,,885K,The Promise Official,3030000,2606956270,9032
52,FC Bayern Munich @UCZkcxFIsqW5htimoUQKA0iA,2.9M,-,Germany,,879K,FC Bayern Munich,4170000,1953018124,6006
53,JoergSprave @UCVZlxkKqlvVqzRJXhAGq42Q,2.9M,0.20%,Germany,,867K,JoergSprave,3050000,568098788,1198
54,iCrimax @UCaR5mgH9aZkswPQtjZ4DktA,2.9M,0.30%,Germany,,867K,iCrimax,3610000,2032957453,3414
55,Shirin David @UC5ZkRnYd3__WBBGnAnWO9Cg,2.9M,-,Germany,,855K,Shirin David,2850000,540638399,193
56,LeFloid @UCLm6s42r_wCbBX0QqXNCTwg,2.8M,-,Germany,Video Gaming,846K,LeFloid,2760000,744574169,1282
57,Elif Karaman @UCZm0b1gRMptZYrquAIRnw4Q,2.8M,-,Germany,,837K,Elif Karaman,2970000,633865288,327
